id,mun_ibge6,mun_ibge7,mun_municipio,mun_codreg,mun_regional,mun_codmac,mun_macroreg,features_geometry_coordinatesp,mun_longitude,mun_latitude
1,210005,2100055,Açailândia,21001,Açailândia,2103,Sul,"[-47.50539,-4.94746]",-47.5053,-4.9474
2,210010,2100105,Afonso Cunha,21005,Caxias,2101,Leste,"[-43.32436,-4.13346]",-43.3243,-4.1334
3,210015,2100154,Água Doce do Maranhão,21006,Chapadinha,2101,Norte,"[-42.11235,-2.84145]",-42.1123,-2.8414
4,210020,2100204,Alcântara,21016,São Luís,2101,Norte,"[-44.41537,-2.40945]",-44.4153,-2.4094
5,210030,2100303,Aldeias Altas,21005,Caxias,2101,Leste,"[-43.47137,-4.62847]",-43.4713,-4.6284
6,210040,2100402,Altamira do Maranhão,21002,Bacabal,2101,Norte,"[-45.47038,-4.16546]",-45.4703,-4.1654
7,210043,2100436,Alto Alegre do Maranhão,21007,Codó,2102,Leste,"[-44.44637,-4.21346]",-44.4463,-4.2134
8,210047,2100477,Alto Alegre do Pindaré,21014,Santa Inês,2101,Norte,"[-45.90338,-3.69046]",-45.9033,-3.6904
9,210050,2100501,Alto Parnaíba,21003,Balsas,2103,Sul,"[-45.93039,-9.11149]",-45.9303,-9.1114
10,210055,2100550,Amapá do Maranhão,21019,Zé Doca,2101,Norte,"[-46.00238,-1.67545]",-46.0023,-1.6754
11,210060,2100600,Amarante do Maranhão,21008,Imperatriz,2103,Sul,"[-46.74239,-5.56747]",-46.7423,-5.5674
12,210070,2100709,Anajatuba,21009,Itapecuru-Mirim,2101,Norte,"[-44.62037,-3.26446]",-44.6203,-3.2644
13,210080,2100808,Anapurus,21006,Chapadinha,2101,Norte,"[-43.11636,-3.67246]",-43.1163,-3.6724
14,210083,2100832,Apicum-Açu,21011,Pinheiro,2101,Norte,"[-45.10338,-1.46144]",-45.1033,-1.4614
15,210087,2100873,Araguanã,21019,Zé Doca,2101,Norte,"[-45.66538,-2.95345]",-45.6653,-2.9534
16,210090,2100907,Araioses,21006,Chapadinha,2101,Norte,"[-41.90335,-2.89045]",-41.9033,-2.8904
17,210095,2100956,Arame,21004,Barra do Corda,2103,Sul,"[-45.90838,-4.73346]",-45.9083,-4.7334
18,210100,2101004,Arari,21009,Itapecuru-Mirim,2101,Norte,"[-44.78037,-3.45446]",-44.7803,-3.4544
19,210110,2101103,Axixá,21013,Rosário,2101,Norte,"[-44.05337,-2.83745]",-44.0533,-2.8374
20,210120,2101202,Bacabal,21002,Bacabal,2101,Norte,"[-44.78037,-4.22546]",-44.7803,-4.2254
21,210125,2101251,Bacabeira,21013,Rosário,2101,Norte,"[-44.31637,-2.97145]",-44.3163,-2.9714
22,210130,2101301,Bacuri,21011,Pinheiro,2101,Norte,"[-45.13438,-1.70345]",-45.1343,-1.7034
23,210135,2101350,Bacurituba,21018,Viana,2101,Norte,"[-44.73837,-2.70645]",-44.7383,-2.7064
24,210140,2101400,Balsas,21003,Balsas,2103,Sul,"[-46.03639,-7.53348]",-46.0363,-7.5334
25,210150,2101509,Barão de Grajaú,21015,São João dos Patos,2103,Leste,"[-43.02436,-6.75648]",-43.0243,-6.7564
26,210160,2101608,Barra do Corda,21004,Barra do Corda,2103,Sul,"[-45.24338,-5.50647]",-45.2433,-5.5064
27,210170,2101707,Barreirinhas,21013,Rosário,2101,Norte,"[-42.82636,-2.74745]",-42.8263,-2.7474
28,210177,2101772,Bela Vista do Maranhão,21014,Santa Inês,2101,Norte,"[-45.31538,-3.73146]",-45.3153,-3.7314
29,210173,2101731,Belágua,21009,Itapecuru-Mirim,2101,Norte,"[-43.51036,-3.15546]",-43.5103,-3.1554
30,210180,2101806,Benedito Leite,21015,São João dos Patos,2103,Leste,"[-44.55837,-7.22348]",-44.5583,-7.2234
31,210190,2101905,Bequimão,21011,Pinheiro,2101,Norte,"[-44.78337,-2.44945]",-44.7833,-2.4494
32,210193,2101939,Bernardo do Mearim,21010,Pedreiras,2102,Leste,"[-44.76437,-4.58446]",-44.7643,-4.5844
33,210197,2101970,Boa Vista do Gurupi,21019,Zé Doca,2101,Norte,"[-46.30338,-1.78845]",-46.3033,-1.7884
34,210200,2102002,Bom Jardim,21014,Santa Inês,2101,Norte,"[-45.99438,-3.56546]",-45.9943,-3.5654
35,210203,2102036,Bom Jesus das Selvas,21001,Açailândia,2103,Sul,"[-46.76539,-4.42046]",-46.7653,-4.4204
36,210207,2102077,Bom Lugar,21002,Bacabal,2101,Norte,"[-45.03938,-4.22046]",-45.0393,-4.2204
37,210210,2102101,Brejo,21006,Chapadinha,2101,Norte,"[-42.75036,-3.68446]",-42.7503,-3.6844
38,210215,2102150,Brejo de Areia,21002,Bacabal,2101,Norte,"[-45.58138,-4.33446]",-45.5813,-4.3344
39,210220,2102200,Buriti,21005,Caxias,2101,Leste,"[-42.92536,-3.94246]",-42.9253,-3.9424
40,210230,2102309,Buriti Bravo,21015,São João dos Patos,2103,Leste,"[-43.83437,-5.83747]",-43.8343,-5.8374
41,210232,2102325,Buriticupu,21001,Açailândia,2103,Sul,"[-46.40139,-4.34646]",-46.4013,-4.3464
42,210235,2102358,Buritirana,21008,Imperatriz,2103,Sul,"[-47.01839,-5.59347]",-47.0183,-5.5934
43,210237,2102374,Cachoeira Grande,21013,Rosário,2101,Norte,"[-44.05837,-2.92745]",-44.0583,-2.9274
44,210240,2102408,Cajapió,21018,Viana,2101,Norte,"[-44.67537,-2.88145]",-44.6753,-2.8814
45,210250,2102507,Cajari,21018,Viana,2101,Norte,"[-45.01138,-3.32146]",-45.0113,-3.3214
46,210255,2102556,Campestre do Maranhão,21008,Imperatriz,2103,Sul,"[-47.36439,-6.17247]",-47.3643,-6.1724
47,210260,2102606,Cândido Mendes,21019,Zé Doca,2101,Norte,"[-45.71738,-1.44744]",-45.7173,-1.4474
48,210270,2102705,Cantanhede,21009,Itapecuru-Mirim,2101,Norte,"[-44.37737,-3.63346]",-44.3773,-3.6334
49,210275,2102754,Capinzal do Norte,21012,Presidente Dutra,2102,Leste,"[-44.32737,-4.72847]",-44.3273,-4.7284
50,210280,2102804,Carolina,21008,Imperatriz,2103,Sul,"[-47.46939,-7.33348]",-47.4693,-7.3334
51,210290,2102903,Carutapera,21019,Zé Doca,2101,Norte,"[-46.02038,-1.19544]",-46.0203,-1.1954
52,210300,2103000,Caxias,21005,Caxias,2101,Leste,"[-43.35636,-4.85947]",-43.3563,-4.8594
